time,HR,steps,GSR,stemp,atemp
2014-08-06T00:00:00,69,0,0.000262,94.2,93
2014-08-06T00:01:00,69,0,0.000277,94.3,93.2
2014-08-06T00:02:00,69,0,0.000252,94.5,93.2
2014-08-06T00:03:00,69,0,0.000268,94.5,93.2
2014-08-06T00:04:00,69,0,0.000239,94.7,93.4
2014-08-06T00:05:00,70,0,0.000232,94.8,93.7
2014-08-06T00:06:00,70,0,0.000259,95,93.7
2014-08-06T00:07:00,69,0,0.000255,95,93.7
2014-08-06T00:08:00,70,0,0.000255,95.2,93.9
2014-08-06T00:09:00,70,0,0.000248,95.2,94.1
2014-08-06T00:10:00,70,0,0.000281,95.4,94.1
2014-08-06T00:11:00,71,0,0.000275,95.5,94.1
2014-08-06T00:12:00,70,0,0.000256,95.6,94.3
2014-08-06T00:13:00,71,0,0.000251,95.7,94.5
2014-08-06T00:14:00,71,0,0.000261,95.8,94.5
2014-08-06T00:15:00,71,0,0.000283,95.9,94.5
2014-08-06T00:16:00,71,0,0.000288,95.9,94.5
2014-08-06T00:17:00,72,0,0.000266,96,94.8
2014-08-06T00:18:00,71,0,0.000268,96.1,95
2014-08-06T00:19:00,71,0,0.000272,96.1,95
2014-08-06T00:20:00,71,0,0.000258,96.3,95
2014-08-06T00:21:00,73,0,0.000266,96.4,95
2014-08-06T00:22:00,74,0,0.000275,96.4,95
2014-08-06T00:23:00,75,0,0.000271,96.4,95.2
2014-08-06T00:24:00,75,0,0.000294,96.6,95.5
2014-08-06T00:25:00,75,0,0.000288,96.6,95.5
2014-08-06T00:26:00,75,0,0.000267,96.6,95.5
2014-08-06T00:27:00,74,0,0.000282,96.6,95.5
2014-08-06T00:28:00,71,0,0.000263,96.7,95.5
2014-08-06T00:29:00,72,0,0.00028,96.8,95.5
2014-08-06T00:30:00,72,0,0.000258,96.8,95.7
2014-08-06T00:31:00,74,0,0.000285,96.8,95.9
2014-08-06T00:32:00,75,0,0.000283,96.8,95.9
2014-08-06T00:33:00,75,0,0.000313,96.9,95.9
2014-08-06T00:34:00,71,0,0.000394,96.9,95.7
2014-08-06T00:35:00,69,0,0.000329,96.8,95
2014-08-06T00:36:00,68,0,0.000316,96.6,94.1
2014-08-06T00:37:00,69,0,0.000319,96.5,93.4
2014-08-06T00:38:00,67,0,0.000306,96.4,93
2014-08-06T00:39:00,68,0,0.000302,96.2,92.5
2014-08-06T00:40:00,68,0,0.000239,96.1,92.3
2014-08-06T00:41:00,66,0,0.000295,96.1,92.1
2014-08-06T00:42:00,69,0,0.000296,95.9,91.8
2014-08-06T00:43:00,67,0,0.000296,95.9,91.8
2014-08-06T00:44:00,70,0,0.000275,95.9,91.8
2014-08-06T00:45:00,70,0,0.000284,95.7,91.6
2014-08-06T00:46:00,69,0,0.000277,95.7,91.4
2014-08-06T00:47:00,69,0,0.000282,95.7,91.4
2014-08-06T00:48:00,69,0,0.000292,95.7,91.4
2014-08-06T00:49:00,69,0,0.00029,95.7,91.4
2014-08-06T00:50:00,69,0,0.000289,95.7,91.4
2014-08-06T00:51:00,70,0,0.000279,95.7,91.4
2014-08-06T00:52:00,70,0,0.000263,95.7,91.4
2014-08-06T00:53:00,68,0,0.000289,95.7,91.4
2014-08-06T00:54:00,66,0,0.000296,95.7,91.4
2014-08-06T00:55:00,67,0,0.000281,95.7,91.4
2014-08-06T00:56:00,70,0,0.000296,95.7,91.4
2014-08-06T00:57:00,64,0,0.000274,95.5,90.9
2014-08-06T00:58:00,66,0,0.000285,95.5,90.5
2014-08-06T00:59:00,65,0,0.000275,95.2,90.5
2014-08-06T01:00:00,64,0,0.0003,95.2,90.5
2014-08-06T01:01:00,64,0,0.000244,95,90.5
2014-08-06T01:02:00,64,0,0.00029,95,90.5
2014-08-06T01:03:00,65,0,0.000258,95,90.5
2014-08-06T01:04:00,64,0,0.000256,94.8,90.5
2014-08-06T01:05:00,65,0,0.000245,94.8,90.5
2014-08-06T01:06:00,64,0,0.00019,94.3,90.5
2014-08-06T01:07:00,62,0,0.000254,94.2,90
2014-08-06T01:08:00,63,0,0.000253,94.3,89.4
2014-08-06T01:09:00,65,0,0.00031,94,88.9
2014-08-06T01:10:00,65,0,0.000271,93.8,88.5
2014-08-06T01:11:00,65,0,0.00022,93.4,88
2014-08-06T01:12:00,64,0,0.000153,92.7,87.6
2014-08-06T01:13:00,62,0,0.000163,92.4,87.3
2014-08-06T01:14:00,65,0,0.000331,92.6,87.3
2014-08-06T01:15:00,66,0,0.000331,92.8,87.1
2014-08-06T01:16:00,65,0,0.000313,92.8,86.9
2014-08-06T01:17:00,66,0,0.00032,92.6,86.7
2014-08-06T01:18:00,66,0,0.000288,92.5,86.5
2014-08-06T01:19:00,66,0,0.000298,92.4,86.2
2014-08-06T01:20:00,66,0,0.000248,92.3,86
2014-08-06T01:21:00,66,0,0.000303,92.3,86
2014-08-06T01:22:00,67,0,0.00023,92.3,86
2014-08-06T01:23:00,67,0,0.000383,92.3,85.8
2014-08-06T01:24:00,66,0,0.000313,92.3,85.5
2014-08-06T01:25:00,68,0,0.000288,92.3,85.5
2014-08-06T01:26:00,68,0,0.000261,92.3,85.5
2014-08-06T01:27:00,67,0,0.000266,92.2,85.5
2014-08-06T01:28:00,67,0,0.000278,92.2,85.5
2014-08-06T01:29:00,68,0,0.000278,92.2,85.5
2014-08-06T01:30:00,68,0,0.000269,92.1,85.5
2014-08-06T01:31:00,68,0,0.000338,92.1,85.5
2014-08-06T01:32:00,68,0,0.000313,92.1,85.5
2014-08-06T01:33:00,66,0,0.000233,92.1,85.5
2014-08-06T01:34:00,66,0,0.000282,92,85.5
2014-08-06T01:35:00,66,0,0.000286,91.9,85.5
2014-08-06T01:36:00,66,0,0.000319,91.9,85.5
2014-08-06T01:37:00,67,0,0.00027,91.9,85.5
2014-08-06T01:38:00,68,0,0.000229,91.9,85.3
2014-08-06T01:39:00,67,0,0.000286,91.9,85.1
2014-08-06T01:40:00,67,0,0.000333,91.9,85.1
2014-08-06T01:41:00,67,0,0.000337,91.9,85.1
